,sourceId,sourceName,author,publishedAt,title,description,content
26,techcrunch,TechCrunch,Lucas Matney,2018-12-11T00:56:33Z,Google Lens arrives in iOS search app,"Google is bringing its Lens visual search feature to the iOS Google app, giving iPhone users a new way to search the web on mobile. By tapping on the Google Lens icon, you dive straight into the camera at which point if Google recognizes something in the spac…","Google is bringing its Lens visual search feature to the iOS Google app, giving iPhone users a new way to search the web on mobile. By tapping on the Google Lens icon, you dive straight into the camera at which point if Google recognizes something in the spac… [+686 chars]"
27,techcrunch,TechCrunch,Natasha Lomas,2018-12-04T10:50:16Z,‘Google You Owe Us’ claimants aren’t giving up on UK Safari workaround suit,Lawyers behind a UK class-action style compensation litigation against Google for privacy violations have filed an appeal against a recent High Court ruling blocking the proceeding. In October Mr Justice Warby ruled the case could not proceed on legal grounds…,Lawyers behind a UK class-action style compensation litigation against Google for privacy violations have filed an appeal against a recent High Court ruling blocking the proceeding. In October Mr Justice Warby ruled the case could not proceed on legal grounds… [+3192 chars]
28,techcrunch,TechCrunch,Brian Heater,2018-12-04T16:58:04Z,"AT&T says it’s getting that 5G Samsung phone, too","Samsung announced yesterday that it’s set to bring a 5G phone to market in the first half of next year, name-checking Verizon in the promise. This morning, however, AT&T was quick to note that it will also be getting its hand on the still-unnamed handset in t…","Samsung announced yesterday that its set to bring a 5G phone to market in the first half of next year, name-checking Verizon in the promise. This morning, however, AT&amp;T was quick to note that it will also be getting its hand on the still-unnamed handset i… [+854 chars]"
29,techcrunch,TechCrunch,Frederic Lardinois,2018-11-28T16:00:03Z,Google Fi now officially supports most Android devices and iPhones,Google is making a major move to expand the availability of its Fi wireless service. It’s been a few years since Google launched Project Fi with the promise of doing things a bit differently than the large carriers. Because it could switch between the cell ne…,Google is making a major move to expand the availability of its Fi wireless service. It’s been a few years since Google launched Project Fi with the promise of doing things a bit differently than the large carriers. Because it could switch between the cell ne… [+3870 chars]
30,techcrunch,TechCrunch,Connie Loizos,2018-12-04T20:53:15Z,"Consumer electronics giant Samsung just became the world’s spendiest advertiser, bypassing Proctor & Gamble","Who rules the roost in the business world is very much in flux. We see it on a daily basis, with the mantle of “most valuable company” being passed between Apple, Amazon and Microsoft, depending on the day. Another interesting data point that highlights some …","Who rules the roost in the business world is very much in flux. We see it on a daily basis, with the mantle of “most valuable company” being passed between Apple, Amazon and Microsoft, depending on the day. Another interesting data point that highlights some … [+2090 chars]"
31,techcrunch,TechCrunch,Natasha Lomas,2018-12-11T12:13:54Z,Apple Pay finally launches in Germany,"Apple’s mobile payment technology has finally launched in Germany, some four years after it debuted in the U.S. On its newly launched Apple Pay website for Germany, Apple lists partner banks and credit card companies at launch, with customers from the likes o…","Apple’s mobile payment technology has finally launched in Germany, some four years after it debuted in the U.S. On its newly launched Apple Pay website for Germany, Apple lists partner banks and credit card companies at launch, with customers from the likes o… [+2282 chars]"
32,techcrunch,TechCrunch,Sarah Perez,2018-12-19T22:01:20Z,"WhatsApp makes group calls easier, but calls still limited to four people","WhatsApp is making group calls easier with a change to the way its mobile app works. Before, users would have to start a 1:1 video call, then add participants – there wasn’t an option to begin a group call at once, the company says. Now, the design has been u…","WhatsApp is making group calls easier with a change to the way its mobile app works. Before, users would have to start a 1:1 video call, then add participants – there wasn’t an option to begin a group call at once, the company says. Now, the design has been u… [+1671 chars]"
33,techcrunch,TechCrunch,Zack Whittaker,2018-12-13T15:57:16Z,A popular ‘boomoji’ app exposed millions of users’ contact lists and location data,"Popular animated avatar creator app Boomoji, with more than five million users across the world, exposed the personal data of its entire user base after it failed to put passwords on two of its internet-facing databases. The China-based app developer left the…","Popular animated avatar creator app Boomoji, with more than five million users across the world, exposed the personal data of its entire user base after it failed to put passwords on two of its internet-facing databases. The China-based app developer left the… [+4003 chars]"
34,techcrunch,TechCrunch,Brian Heater,2018-12-14T17:23:10Z,The new Palm is almost the MP3 player I want,"The iPod Classic still looms larger as my favorite gadget of all time. Sure, plenty have lapped the device in terms of technology, while any lingering concerns about not owning the music I listen to have faded for the ubiquity of Spotify, but the iPod lives o…","The iPod Classic still looms larger as my favorite gadget of all time. Sure, plenty have lapped the device in terms of technology, while any lingering concerns about not owning the music I listen to have faded for the ubiquity of Spotify, but the iPod lives o… [+3316 chars]"
35,techcrunch,TechCrunch,Danny Crichton,2018-12-21T18:05:16Z,The GPS wars have begun,"Where are you? That’s not just a metaphysical question, but increasingly a geopolitical challenge that is putting tech giants like Apple and Alphabet in a tough position. Countries around the world, including China, Japan, India, and the United Kingdom plus t…","Where are you? Thats not just a metaphysical question, but increasingly a geopolitical challenge that is putting tech giants like Apple and Alphabet in a tough position.
Countries around the world, including China, Japan, India, and the United Kingdom plus t… [+5530 chars]"
36,techcrunch,TechCrunch,Taylor Hatmaker,2018-12-18T14:00:07Z,Gift Guide: 6 rugged gifts for outdoorsy friends and family,"Shopping for someone who prefers hiking and camping to the great indoors can be tricky. Not only are outdoor enthusiasts usually less impressed by traditional gifts (clothes, games, etc.) but their preferred realm of technical gear is vast and confusing. If y…","Shopping for someone who prefers hiking and camping to the great indoors can be tricky. Not only are outdoor enthusiasts usually less impressed by traditional gifts (clothes, games, etc.) but their preferred realm of technical gear is vast and confusing. If y… [+5814 chars]"
37,techcrunch,TechCrunch,David Riggs,2018-12-06T23:00:50Z,7 things to think about voice,"Voice won't change everything but it will be part of a movement that heralds a new way to think about our relationship with devices, screens, our data and interactions.","The next few years will see voice automation take over many aspects of our lives. Although voice won’t change everything, it will be part of a movement that heralds a new way to think about our relationship with devices, screens, our data and interactions. We… [+6701 chars]"
38,techcrunch,TechCrunch,Danny Crichton,2018-12-13T16:43:40Z,On stock prices and Nvidia,"Yesterday’s analysis of Nvidia’s challneges triggered a surge of mail from readers. The company has lost about half of its value over the past two months, and has mostly blamed a “crypto hangover” for the problem. But as I pointed yesterday, it’s really the t…","Yesterdays analysis of Nvidias challneges triggered a surge of mail from readers. The company has lost about half of its value over the past two months, and has mostly blamed a crypto hangover for the problem. But as I pointed yesterday, its really the three … [+6101 chars]"
39,techcrunch,TechCrunch,Mike Butcher,2018-11-26T16:12:13Z,Banuba raises $7M to supercharge any app or device with the ability to really see you,"Regardless of whether it’s immediate future is obvious or not, AR has a future if the amount of investment pouring into the space is anything to go by. In 2016 AR and VR attracted $2.3 billion worth of investments (a 300% jump from 2015) and is expected to re…","Walking into the office of Viktor Prokopenya – which overlooks a central London park – you would perhaps be forgiven for missing the significance of this unassuming location, just south of Victoria Station in London. While giant firms battle globally to make … [+7985 chars]"
